リンクＩＤ,起点ノードID,終点ノードID,経路の種類,供用開始時間,供用終了時間,供用開始日,供用終了日,供用制限曜日,方向性,通行制限,有効幅員,有効幅員緯度,有効幅員経度,縦断勾配1,縦断勾配1緯度,縦断勾配1経度,縦断勾配2,横断勾配,横断勾配緯度,横断勾配経度,路面状況,段差,段差緯度,段差経度,最小階段段数,最大階段段数,手すり,屋根の有無,蓋のない溝、水路の有無,バス停の有無,バス停の緯度,バス停の経度,視覚障害者誘導用ブロック,補助施設の設置状況,補助施設の緯度,補助施設の経度,エレベーター種別,エレベーターの緯度,エレベーターの経度,信号の有無,信号の緯度,信号の経度,信号種別,日交通量,主な利用者,通り名称または交差点名称,エスコートゾーン,リンク延長
00001B000000000309CEEE26628A7FC1,00001B000000000309CEEE26628AFFC1,00001B000000000309CEEEA6628A7FC1,4,,,,,,0,0,2,35.42.39.672,139.45.18.899,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,2.9
00001B000000000309CEEB26628C7FC1,00001B000000000309CEEA26628CFFC1,00001B000000000309CEEC26628BFFC1,4,,,,,,0,0,2,35.42.39.073,139.45.19.256,3.5,35.42.38.915,139.45.19.355,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,13.6
00001B000000000309CEE826628EFFC1,00001B000000000309CEE726628FFFC1,00001B000000000309CEE9A6628DFFC2,1,,,,,,0,0,2,35.42.38.489,139.45.19.710,5.2,35.42.38.400,139.45.19.786,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,16.9
00001B000000000309CEE6A662907FC1,00001B000000000309CEE5A662917FC1,00001B000000000309CEE726628FFFC1,1,,,,,,0,0,2,35.42.38.107,139.45.20.058,5.2,35.42.38.106,139.45.20.047,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,12.4
00001B000000000309CEE2266294FFC1,00001B000000000309CEDEA66298FFC1,00001B000000000309CEE5A662917FC1,1,,,,,,0,0,2,35.42.37.254,139.45.20.960,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,57.1
00001B000000000309CEDC26629BFFC1,00001B000000000309CED926629EFFC1,00001B000000000309CEDEA66298FFC1,1,,,,,,0,0,2,35.42.36.012,139.45.22.353,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,46.7
00001B000000000309CED926629F7FC1,00001B000000000309CED8A6629FFFC2,00001B000000000309CED926629EFFC1,4,,,,,,0,0,2,35.42.35.406,139.45.23.067,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,5.1
00001B000000000309CED8A6629FFFC3,00001B000000000309CED8A6629FFFC1,00001B000000000309CED8A6629FFFC2,4,,,,,,0,0,2,35.42.35.326,139.45.23.170,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,2
00001B000000000309CED7A662A17FC1,00001B000000000309CED6A662A2FFC1,00001B000000000309CED8A6629FFFC1,1,,,,,,0,0,2,35.42.35.124,139.45.23.476,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,17.8
00001B000000000309CED62662A3FFC1,00001B000000000309CED52662A57FC1,00001B000000000309CED6A662A2FFC1,1,,,,,,0,0,2,35.42.34.818,139.45.23.978,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,13.7
00001B000000000309CED52662A5FFC1,00001B000000000309CED4A662A6FFC1,00001B000000000309CED52662A57FC1,1,,,,,,0,0,2,35.42.34.635,139.45.24.363,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,8.7
00001B000000000309CED4A662A6FFC3,00001B000000000309CED4A662A6FFC2,00001B000000000309CED4A662A6FFC1,1,,,,,,0,0,2,35.42.34.568,139.45.24.557,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,1.9
