リンクＩＤ,起点ノードID,終点ノードID,経路の種類,供用開始時間,供用終了時間,供用開始日,供用終了日,供用制限曜日,方向性,通行制限,有効幅員,有効幅員緯度,有効幅員経度,縦断勾配1,縦断勾配1緯度,縦断勾配1経度,縦断勾配2,横断勾配,横断勾配緯度,横断勾配経度,路面状況,段差,段差緯度,段差経度,最小階段段数,最大階段段数,手すり,屋根の有無,蓋のない溝、水路の有無,バス停の有無,バス停の緯度,バス停の経度,視覚障害者誘導用ブロック,補助施設の設置状況,補助施設の緯度,補助施設の経度,エレベーター種別,エレベーターの緯度,エレベーターの経度,信号の有無,信号の緯度,信号の経度,信号種別,日交通量,主な利用者,通り名称または交差点名称,エスコートゾーン,リンク延長
00001B000000000309CF292662AFFFC1,00001B000000000309CF26A662AF7FC1,00001B000000000309CF2B2662B07FC1,1,,,,,,0,0,3,35.42.51.432,139.45.26.342,3.5,35.42.51.696,139.45.26.413,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,28.7
00001B000000000309CF222662ADFFC1,00001B000000000309CF1DA662ACFFC1,00001B000000000309CF26A662AF7FC1,1,,,,,,0,0,3,35.42.50.085,139.45.25.957,3.5,35.42.50.099,139.45.25.945,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,56.6
00001B000000000309CF19A662A97FC1,00001B000000000309CF1DA662ACFFC1,00001B000000000309CF15A662A5FFC1,1,,,,,,0,0,2,35.42.48.356,139.45.25.002,0,,,0,0,,,0,0,,,0,0,0,0,0,1,35.42.47.989,139.45.24.688,0,0,,,0,,,2,35.42.47.528,139.45.24.303,0,,0,,0,62.3
00001B000000000309CED4A662E77FC2,00001B000000000309CED4A662E77FC1,00001B000000000309CED52662E6FFC1,5,,,,,,0,0,3,35.42.34.596,139.45.37.404,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,4.4
00001B000000000309CEC22662E9FFC2,00001B000000000309CEC22662E9FFC1,00001B000000000309CEC2A662E9FFC1,5,,,,,,0,0,3,35.42.30.883,139.45.37.959,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,3.8
00001B000000000309CEB3A662E87FC1,00001B000000000309CEB32662E87FC1,00001B000000000309CEB42662E87FC1,4,,,,,,0,0,3,35.42.27.974,139.45.37.657,7,35.42.28.039,139.45.37.648,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,5.9
00001B000000000309CEB22662E87FC1,00001B000000000309CEB0A662E87FC1,00001B000000000309CEB32662E87FC1,1,,,,,,0,0,3,35.42.27.617,139.45.37.657,5.2,35.42.27.432,139.45.37.646,0,0,,,0,0,,,0,0,0,0,0,0,,,1,0,,,0,,,3,35.42.27.357,139.45.37.648,1,,0,–{‹½’Ê‚è,0,16.2
00001B000000000309CEBA2662E77FC1,00001B000000000309CEB9A662E77FC1,00001B000000000309CEBAA662E77FC1,5,,,,,,0,0,3,35.42.29.241,139.45.37.463,3.5,35.42.29.144,139.45.37.478,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,7.6
00001B000000000309CEBAA662E77FC2,00001B000000000309CEBAA662E77FC1,00001B000000000309CEBB2662E77FC1,5,,,,,,0,0,3,35.42.29.389,139.45.37.440,7,35.42.29.403,139.45.37.438,0,0,,,0,0,,,0,0,0,0,0,0,,,1,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.6
00001B000000000309CEC6A662E57FC2,00001B000000000309CEC62662E5FFC1,00001B000000000309CEC6A662E57FC1,4,,,,,,0,0,3,35.42.31.728,139.45.37.094,0,,,0,0,,,0,1,35.42.31.754,139.45.37.090,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.5
00001B000000000309CEC62662E5FFC3,00001B000000000309CEC62662E5FFC2,00001B000000000309CEC62662E5FFC1,4,,,,,,0,0,3,35.42.31.645,139.45.37.106,0,,,0,0,,,0,1,35.42.31.619,139.45.37.111,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.7
